,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed,url,data_source_name
7108,USED,2022,FORD,MAVERICK,XLT,37900.0,Area 51,Navy Pier,All-wheel Drive,Gasoline,5906.0,"1224 North Broadway New Ulm, MN 56073",2023-05-23,http://cars.com///vehicledetail/3c0dc3f0-3c34-46f0-9025-be847a529bd2/,cars.com
7109,USED,2022,FORD,MAVERICK,XLT,36250.0,Oxford White,Navy Pier,All-wheel Drive,Gasoline,1747.0,"334565 E. Highway 66 Wellston, OK 74881",2023-05-23,http://cars.com///vehicledetail/ed09bd80-629a-424e-9402-30870ce8aa8f/,cars.com
7110,USED,2022,FORD,MAVERICK,XL,31000.0,Blue,Gray,Front-wheel Drive,CVT Transmission,20200.0,"J from Naperville, IL 60563",2023-05-23,http://cars.com///vehicledetail/5bfced01-0047-4a4d-ac40-288bbb2da836/,cars.com
7111,USED,2022,FORD,MAVERICK,XLT,39800.0,Shadow Black,Navy Pier/Medium Slate,All-wheel Drive,Gasoline,21144.0,"219 Woodgate Drive South Brandon, MS 39042",2023-05-23,http://cars.com///vehicledetail/99ae503d-e3c4-430f-8c6f-a7324c32e7c3/,cars.com
7112,USED,2023,FORD,MAVERICK,XLT,39900.0,White,Navy Pier,All-wheel Drive,Gasoline,72.0,"1810 Highway 25B North Heber Springs, AR 72543",2023-05-23,http://cars.com///vehicledetail/ef9a7c1b-9286-41e5-a506-cbeda4b3c176/,cars.com
7113,USED,2022,FORD,MAVERICK,XLT,34500.0,Shadow Black,Navy Pier/Medium Slate,Front-wheel Drive,Gasoline,23056.0,"308 N Outer Rd St James, MO 65559",2023-05-23,http://cars.com///vehicledetail/75c1cb8e-dc64-494f-b1dc-106e03d290a8/,cars.com
7114,USED,2022,FORD,MAVERICK,LARIAT,38635.0,Carbonized Gray Metallic,Desert,All-wheel Drive,Gasoline,13075.0,"3624 Kohler Memorial Drive Sheboygan, WI 53081",2023-05-23,http://cars.com///vehicledetail/a7b5c49c-ab97-4be3-8100-96e4067bcdb1/,cars.com
7115,CERTIFIED,2022,FORD,MAVERICK,XLT,35684.0,Velocity Blue Metallic,Navy Pier,All-wheel Drive,Gasoline,20076.0,"2303 W. Beltline Highway Madison, WI 53713",2023-05-23,http://cars.com///vehicledetail/8a14d95e-616f-422d-a448-f3857b599d54/,cars.com
7116,USED,2022,FORD,MAVERICK,XLT,37495.0,Blue,Gray,All-wheel Drive,Gasoline,255.0,"650 S Main St Clintonville, WI 54929",2023-05-23,http://cars.com///vehicledetail/1896ed30-ef32-44a5-a413-8c4348d26b3c/,cars.com
7117,USED,2022,FORD,MAVERICK,XLT,38852.0,Cactus Green / Gray,Navy Pier,All-wheel Drive,Gasoline,10921.0,"400 N 20th St Ozark, MO 65721",2023-05-23,http://cars.com///vehicledetail/82ae83a7-ff9b-4a17-b398-9889e2791858/,cars.com
7118,USED,2022,FORD,MAVERICK,XL,36200.0,Velocity Blue Metallic,Black Onyx/Medium Dark Slate,Front-wheel Drive,Gasoline,20984.0,"219 Woodgate Drive South Brandon, MS 39042",2023-05-23,http://cars.com///vehicledetail/5384b2b3-0e03-4df8-9648-17b575bb739d/,cars.com
7119,USED,2023,FORD,MAVERICK,XL,34943.0,Cactus Green / Gray,Navy Pier,Front-wheel Drive,Gasoline,48.0,"1555 E. Independence Springfield, MO 65804",2023-05-23,http://cars.com///vehicledetail/9761ab89-e6c4-4514-b4fb-56a8c0e09c6e/,cars.com
7120,USED,2022,FORD,MAVERICK,XLT,37998.0,Gray,Gray,All-wheel Drive,Gasoline,192.0,"597 Beasley Rd Jackson, MS 39206",2023-05-23,http://cars.com///vehicledetail/362aa383-f0d7-4217-bb2c-9b35329814af/,cars.com
7121,USED,2022,FORD,MAVERICK,XLT,38998.0,Blue,Gray,FWD,Hybrid,24832.0,"597 Beasley Rd Jackson, MS 39206",2023-05-23,http://cars.com///vehicledetail/bdbfa297-edc6-4b60-8aea-59f38c582fd0/,cars.com
7122,USED,2022,FORD,MAVERICK,LARIAT,41375.0,Carbonized Gray Metallic,Desert,All-wheel Drive,Gasoline,4364.0,"920 West Golf Road Schaumburg, IL 60194",2023-05-23,http://cars.com///vehicledetail/fc1a2dae-5278-450b-a1b4-8a871d484aa3/,cars.com
7123,USED,2022,FORD,MAVERICK,XL,32835.0,Blue,Black Onyx,Front-wheel Drive,Hybrid,12427.0,"110 W. Golf Rd Schaumburg, IL 60195",2023-05-23,http://cars.com///vehicledetail/7d4fae80-98e6-4e8a-97be-7b34542b9c3f/,cars.com
7124,USED,2022,FORD,MAVERICK,XLT,36351.0,Oxford White,Navy Pier,All-wheel Drive,Gasoline,8013.0,"1100 E Golf Rd Schaumburg, IL 60173",2023-05-23,http://cars.com///vehicledetail/9aeb8106-0a99-4e62-a210-30bba9490cd2/,cars.com
7125,USED,2022,FORD,MAVERICK,XLT,27945.0,Blue,Gray,All-wheel Drive,Gasoline,113522.0,"25W175 Lake St Roselle, IL 60172",2023-05-23,http://cars.com///vehicledetail/08024009-9b90-48a4-a5e8-8ae522ba3072/,cars.com
7126,USED,2022,FORD,MAVERICK,LARIAT,38855.0,Cactus Green / Gray,Desert,All-wheel Drive,Gasoline,21812.0,"1045 E Chicago St Elgin, IL 60120",2023-05-23,http://cars.com///vehicledetail/b6893c21-7f05-4f57-afed-f8fdc8c5932a/,cars.com
7127,USED,2023,FORD,MAVERICK,XLT,37992.0,Gray,Navy Pier,Front-wheel Drive,Hybrid,34.0,"730 S Broad Street Lititz, PA 17543",2023-05-23,http://cars.com///vehicledetail/340e6a1b-9712-4a1d-a5d4-3564171f6c96/,cars.com
7128,USED,2022,FORD,MAVERICK,XLT,35198.0,Gray,Black Onyx,All-wheel Drive,Gasoline,9593.0,"121 Altama Connector Brunswick, GA 31525",2023-05-23,http://cars.com///vehicledetail/52f01ff2-845a-478e-91a6-8059ba75ae0c/,cars.com
