,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed,url,data_source_name
237,CERTIFIED,2022,FORD,MAVERICK,XL,34224,Cactus,Black Onyx,All-wheel Drive,Gasoline,4919,"646 Thompson Lane Nashville, TN 37204",2023-06-04,http://cars.com///vehicledetail/bbeea25d-573d-456e-a9db-071918ed268a/,cars.com
238,CERTIFIED,2022,FORD,MAVERICK,XLT,31309,Blue,Navy Pier,Front-wheel Drive,Gasoline,25315,"28739 State Road 54 Wesley Chapel, FL 33543",2023-06-04,http://cars.com///vehicledetail/9a673913-ead8-49ca-80cc-f2fdab46637e/,cars.com
239,CERTIFIED,2022,FORD,MAVERICK,XLT,31779,Cactus Green / Gray,Navy Pier,Front-wheel Drive,Gasoline,18675,"28739 State Road 54 Wesley Chapel, FL 33543",2023-06-04,http://cars.com///vehicledetail/33244284-a08a-4757-8516-31b513f851cb/,cars.com
240,USED,2022,FORD,MAVERICK,XLT,36999,Gray Metallic,Navy Pier,Front-wheel Drive,Gasoline,7629,"2795 N State Hwy 7 North Vernon, IN 47265",2023-06-04,http://cars.com///vehicledetail/9c461e9b-3760-469a-b592-6e5494f86491/,cars.com
241,USED,2023,FORD,MAVERICK,XLT,39998,Black,Gray,Front-wheel Drive,Hybrid,2505,"2501 Powell Ave Nashville, TN 37204",2023-06-04,http://cars.com///vehicledetail/3782d836-958d-4cba-8c1a-e1623eb79000/,cars.com
242,USED,2022,FORD,MAVERICK,LARIAT,37403,Gray,Desert,All-wheel Drive,Gasoline,5101,"212 Comtide Ct Franklin, TN 37067",2023-06-04,http://cars.com///vehicledetail/afecd1b8-81a9-4ebd-8182-070b471224d5/,cars.com
243,USED,2022,FORD,MAVERICK,XLT,35985,Gray,Navy Pier,Front-wheel Drive,Hybrid,13963,"1875 W McEwen Dr Franklin, TN 37067",2023-06-04,http://cars.com///vehicledetail/339ccef3-10d5-4d7f-898f-c3c5e22a13a7/,cars.com
244,USED,2022,FORD,MAVERICK,XL,31250,Blue,Brown,Front-wheel Drive,CVT Transmission,14500,"Sid from Providence, RI 02908",2023-06-04,http://cars.com///vehicledetail/29959257-ea4c-40a7-88b6-e756d0558bd1/,cars.com
245,USED,2022,FORD,MAVERICK,XL,32998,Green,Black,Front-wheel Drive,Gasoline,8416,"4075 Mallory Ln Franklin, TN 37067",2023-06-04,http://cars.com///vehicledetail/206d89f5-dd85-44d4-bae1-b28c3b565cbc/,cars.com
246,USED,2022,FORD,MAVERICK,XLT,35900,Oxford White,Navy Pier,All-wheel Drive,Gasoline,4370,"1129 Murfreesboro Rd. Franklin, TN 37064",2023-06-04,http://cars.com///vehicledetail/1369af07-0f5e-4b77-b8f1-4af7b0503388/,cars.com
247,USED,2022,FORD,MAVERICK,XLT,35900,Area 51,Navy Pier,Front-wheel Drive,Hybrid,12949,"2002 N Frontage Rd Plant City, FL 33563",2023-06-04,http://cars.com///vehicledetail/15f2435e-92fc-42bb-b842-1cd66830c734/,cars.com
248,USED,2022,FORD,MAVERICK,XLT,30020,Cactus,Navy Pier,All-wheel Drive,Gasoline,43951,"1425 W Main St Bartow, FL 33830",2023-06-04,http://cars.com///vehicledetail/fd449b54-1bd8-43a6-8984-8555e0f2df23/,cars.com
249,CERTIFIED,2022,FORD,MAVERICK,XLT,35990,Cactus Green / Gray,Black Onyx,All-wheel Drive,Gasoline,3670,"2000 E Baker St Plant City, FL 33563",2023-06-04,http://cars.com///vehicledetail/9692f86d-365c-469d-8f3c-68b8ee153175/,cars.com
250,USED,2022,FORD,MAVERICK,LARIAT,40898,Area 51,Desert,Front-wheel Drive,Hybrid,12062,"2000 E Baker St Plant City, FL 33563",2023-06-04,http://cars.com///vehicledetail/d4e84a45-6cf8-4a38-927b-a59914e84790/,cars.com
251,USED,2023,FORD,MAVERICK,LARIAT,43478,Iconic Silver Metallic,Black Onyx,All-wheel Drive,Gasoline,597,"2000 E Baker St Plant City, FL 33563",2023-06-04,http://cars.com///vehicledetail/cfc22482-2eb4-449a-b7ae-bc36fd3e3ee2/,cars.com
252,USED,2022,FORD,MAVERICK,XL,29515,Blue Metallic,–,Front-wheel Drive,Hybrid,474,"6614 S. Florida Avenue Lakeland, FL 33813",2023-06-04,http://cars.com///vehicledetail/1651c06a-715c-4e0d-8f83-a6548b398311/,cars.com
253,USED,2022,FORD,MAVERICK,6N,40899,White,Desert,All-wheel Drive,Gasoline,4819,"5255 AL-157 Cullman, AL 35058",2023-06-04,http://cars.com///vehicledetail/ef093ad4-ed90-474d-a0c9-36c61ee477b1/,cars.com
254,USED,2022,FORD,MAVERICK,XLT,,Red,Gray,All-wheel Drive,Gasoline,18902,"207 South Main St Salem, IN 47167",2023-06-04,http://cars.com///vehicledetail/2f378421-ade5-4135-a345-85352087ba3a/,cars.com
255,USED,2022,FORD,MAVERICK,XLT,35298,Gray Metallic,Navy Pier,All-wheel Drive,Gasoline,6901,"4200 SE Federal Hwy Stuart, FL 34997",2023-06-04,http://cars.com///vehicledetail/91799250-0017-4b1f-a1e7-6380c5c187a7/,cars.com
256,USED,2022,FORD,MAVERICK,LARIAT,42795,Area 51,Desert,All-wheel Drive,Gasoline,4903,"585 State Route 31 Bridgeport, NY 13030",2023-06-04,http://cars.com///vehicledetail/8308d64d-7756-442f-bb5f-86ce1457a842/,cars.com
257,USED,2022,FORD,MAVERICK,XLT,36479,Velocity Blue Metallic,Navy Pier,All-wheel Drive,Gasoline,6967,"11780 Tampa Gateway Blvd Seffner, FL 33584",2023-06-04,http://cars.com///vehicledetail/88df7b13-ca18-48be-a6b1-3dd64b189d48/,cars.com
258,USED,2023,FORD,MAVERICK,XLT,39587,Atlas Blue Metallic,Navy Pier,All-wheel Drive,Gasoline,84,"11780 Tampa Gateway Blvd Seffner, FL 33584",2023-06-04,http://cars.com///vehicledetail/b08ad192-74df-422b-a6f4-6cda1537034e/,cars.com
259,USED,2022,FORD,MAVERICK,XL,28998,Blue,Gray,Front-wheel Drive,Gasoline,22958,"14920 N Nebraska Ave Tampa, FL 33613",2023-06-04,http://cars.com///vehicledetail/440d3ffc-9fee-4a3e-8aaa-e68a7e4775c8/,cars.com
260,USED,2023,FORD,MAVERICK,XL,32999,Gray,Black Onyx/Medium Dark Slate,Front-wheel Drive,Gasoline,10748,"1183 S. Memorial Drive Prattville, AL 36067",2023-06-04,http://cars.com///vehicledetail/7404490a-a2d0-43b0-b45d-3a2ba0a86da6/,cars.com
261,USED,2022,FORD,MAVERICK,LARIAT,41924,Orange,Desert,All-wheel Drive,Gasoline,4556,"1211 Beltline Rd SW Decatur, AL 35601",2023-06-04,http://cars.com///vehicledetail/2f4d74c2-f2b9-4c32-84b0-f19d261ae988/,cars.com
262,USED,2022,FORD,MAVERICK,LARIAT,38977,Chili Pepper Red,Desert,All-wheel Drive,Gasoline,2138,"8 Uxbridge Rd Mendon, MA 01756",2023-06-04,http://cars.com///vehicledetail/b81a474c-6d4d-400b-a4f7-72299c4fddb0/,cars.com
263,USED,2022,FORD,MAVERICK,LARIAT,40747,Red,Brown,All-wheel Drive,Gasoline,450,"8 Uxbridge Rd Mendon, MA 01756",2023-06-04,http://cars.com///vehicledetail/559ff5cc-5228-46aa-8c4c-aed26cab75dd/,cars.com
264,USED,2022,FORD,MAVERICK,LARIAT,42477,Blue,Desert,All-wheel Drive,Gasoline,10347,"8 Uxbridge Rd Mendon, MA 01756",2023-06-04,http://cars.com///vehicledetail/7f9bb817-09f0-479f-a994-483cb8236fc5/,cars.com
