,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed,url,data_source_name
667,USED,2022,FORD,MAVERICK,LARIAT,44998,White,Brown,Front-wheel Drive,Hybrid,10689,"3853 Plaza Drive Oceanside, CA 92056",2023-05-17,http://cars.com///vehicledetail/8f64ce4f-0443-449d-9ba2-d3f6d469d895/,cars.com
668,USED,2022,FORD,MAVERICK,XL,32295,Velocity Blue Metallic,Black Onyx,All-wheel Drive,Gasoline,38263,"1350 S Woodruff Way Ontario, CA 91761",2023-05-17,http://cars.com///vehicledetail/ac14084c-d7ce-462e-a38e-0f4d865ca08a/,cars.com
669,USED,2023,FORD,MAVERICK,XL,34999,Area 51,Black Onyx,Front-wheel Drive,Hybrid,5558,"1350 S Woodruff Way Ontario, CA 91761",2023-05-17,http://cars.com///vehicledetail/bb61935f-cf06-464e-bda7-1616d5fee49d/,cars.com
670,USED,2023,FORD,MAVERICK,XL,33270,White,Black,All-wheel Drive,8-Speed A/T,150,"Navid from San Diego, CA 92117",2023-05-17,http://cars.com///vehicledetail/30967687-2c36-4563-84e0-9c95dc77606a/,cars.com
671,USED,2023,FORD,MAVERICK,XL,36977,Area 51,Gray,Front-wheel Drive,Hybrid,359,"4555 Mission Bay Dr San Diego, CA 92109",2023-05-17,http://cars.com///vehicledetail/8d33b50e-3a2e-45ca-b4b5-b1c89a336c64/,cars.com
672,USED,2023,FORD,MAVERICK,LARIAT,42977,Silver,Desert,Front-wheel Drive,Hybrid,106,"4555 Mission Bay Dr San Diego, CA 92109",2023-05-17,http://cars.com///vehicledetail/47904252-7441-442a-be54-29a5d3263711/,cars.com
673,CERTIFIED,2022,FORD,MAVERICK,XLT,35632,ALTO BLUE METALLIC TC,NAVY PIER -MED SLATE TRIM,–,–,27427,"5555 Paseo del Norte Carlsbad, CA 92008",2023-05-17,http://cars.com///vehicledetail/9047938d-ac8f-44fc-8a73-cc29b76f3410/,cars.com
674,CERTIFIED,2022,FORD,MAVERICK,XL,31785,CACTUS GREY,BLACK ONYX-MED DK SLATE TRI,–,–,9676,"5555 Paseo del Norte Carlsbad, CA 92008",2023-05-17,http://cars.com///vehicledetail/14e4626a-6b1c-46c9-87b4-6e1d593688e1/,cars.com
675,USED,2023,FORD,MAVERICK,LARIAT,45791,Gray,Black Onyx,All-wheel Drive,Gasoline,1523,"1983 Hamner Avenue Norco, CA 92860",2023-05-17,http://cars.com///vehicledetail/b5972fb4-f967-4d22-b879-bd233dc129db/,cars.com
676,USED,2022,FORD,MAVERICK,XLT,34798,Hot Pepper Red Tinted Clearcoat,Navy Pier,Front-wheel Drive,Gasoline,7065,"10477 Central Ave. Montclair, CA 91763",2023-05-17,http://cars.com///vehicledetail/cae37c19-aa30-405f-88e8-1061e36ec4bf/,cars.com
677,USED,2022,FORD,MAVERICK,LARIAT,39333,Oxford White,Desert,Front-wheel Drive,Hybrid,3732,"10477 Central Ave. Montclair, CA 91763",2023-05-17,http://cars.com///vehicledetail/4ce5efc5-45a4-4134-96a5-09dcf5d389b2/,cars.com
678,USED,2022,FORD,MAVERICK,XLT,35668,Silver,Navy Pier,Front-wheel Drive,Hybrid,10905,"10477 Central Ave. Montclair, CA 91763",2023-05-17,http://cars.com///vehicledetail/80fb7287-4697-459b-892e-413fb70fc7cc/,cars.com
679,USED,2023,FORD,MAVERICK,FOR,,White,–,Front-wheel Drive,Hybrid,53,"10477 Central Ave. Montclair, CA 91763",2023-05-17,http://cars.com///vehicledetail/52663eb6-3e5b-4cb5-a608-516126e85ca3/,cars.com
