,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed,url,data_source_name
15437,USED,2022,FORD,MAVERICK,LARIAT,42980,Area 51,Desert,All-wheel Drive,Gasoline,3130,"809 S 5th St Louisville, KY 40203",2023-06-08,http://cars.com///vehicledetail/ae272f53-dd69-4141-8777-e6c116bc89f7/,cars.com
15438,USED,2023,FORD,MAVERICK,LARIAT,46980,Alto Blue Metallic Tinted Clearcoat,Desert,All-wheel Drive,Gasoline,1296,"809 S 5th St Louisville, KY 40203",2023-06-08,http://cars.com///vehicledetail/da2a6e57-871a-4625-9008-0e2911dfd3a6/,cars.com
15439,USED,2022,FORD,MAVERICK,XL,34980,Area 51,Black Onyx,All-wheel Drive,Gasoline,4954,"809 S 5th St Louisville, KY 40203",2023-06-08,http://cars.com///vehicledetail/88a31ab2-d73c-45c5-9b70-6ffaf0f523c2/,cars.com
15440,USED,2023,FORD,MAVERICK,XLT,38980,Cactus Green / Gray,Navy Pier,Front-wheel Drive,Hybrid,943,"809 S 5th St Louisville, KY 40203",2023-06-08,http://cars.com///vehicledetail/7d432e00-e4ca-4c54-99e6-d63b1dd464c8/,cars.com
15441,USED,2023,FORD,MAVERICK,XLT,39980,Carbonized Gray Metallic,Navy Pier,All-wheel Drive,Gasoline,678,"809 S 5th St Louisville, KY 40203",2023-06-08,http://cars.com///vehicledetail/7ac3d090-ab06-4fe0-8434-45a2c290e971/,cars.com
15442,USED,2022,FORD,MAVERICK,XLT,37998,Gray,Black Onyx,Front-wheel Drive,Hybrid,3102,"50 Palomba Dr Enfield, CT 06082",2023-06-08,http://cars.com///vehicledetail/a85bc167-7764-41e1-a38e-8b8727657119/,cars.com
15443,CERTIFIED,2022,FORD,MAVERICK,XLT,31287,Blue,Navy Pier,Front-wheel Drive,Gasoline,25315,"28739 State Road 54 Wesley Chapel, FL 33543",2023-06-08,http://cars.com///vehicledetail/9a673913-ead8-49ca-80cc-f2fdab46637e/,cars.com
15444,USED,2023,FORD,MAVERICK,XLT,35989,Area 51,Black Onyx,Front-wheel Drive,Gasoline,4712,"5244 Dixie Highway Louisville, KY 40216",2023-06-08,http://cars.com///vehicledetail/dcacb436-f44a-4efc-a044-d260f80825f8/,cars.com
15445,USED,2022,FORD,MAVERICK,XLT,36550,Carbonized Gray Metallic,Navy Pier,Front-wheel Drive,Hybrid,17466,"2500 Jordan Ln NW Huntsville, AL 35816",2023-06-08,http://cars.com///vehicledetail/d4f67b64-bc60-43b3-ab37-e8145b910fb9/,cars.com
15446,USED,2023,FORD,MAVERICK,XL,34998,Gray,Black,All-wheel Drive,Gasoline,347,"6364 University Dr NW Huntsville, AL 35806",2023-06-08,http://cars.com///vehicledetail/700ca270-da3c-4783-aea0-67ebb2a998f2/,cars.com
